AvgCyclomatic,AvgEssential,CountDeclClassMethodRatio,CountDeclClassVariableRatio,CountDeclInstanceMethodRatio,CountDeclMethodPrivateRatio,CountDeclMethodProtectedRatio,CountDeclMethodPublicRatio,CountLine,CountLineBlankRatio,CountLineCodeDeclRatio,MaxCyclomatic,RatioCommentToCode,AvgCountClassBase,AvgCountClassCoupled,AvgCountClassDerived,MaxInheritanceTree,AvgPercentLackOfCohesion,AvgCountInput,AvgCountOutput,AvgCountPath,MaxNesting,Bug
2.0,1.0,0.0,0.0,1.0,0.2857142857142857,0.0,0.7142857142857143,185.0,0.1081081081081081,0.1729729729729729,6.0,0.75,1.0,7.0,0.0,3.0,57.0,4.714285714285714,4.857142857142857,2.571428571428572,4.0,0
1.0,1.0,1.0,2.0,0.75,0.0,0.75,0.25,51.0,0.1568627450980392,0.2745098039215686,1.0,0.72,2.0,5.0,1.0,1.0,25.0,3.0,2.5,1.0,0.0,0
3.0,1.0,0.5,2.1666666666666665,0.9558823529411764,0.0294117647058823,0.0,0.9558823529411764,1016.0,0.1112204724409448,0.1811023622047244,20.0,0.06,2.2,14.2,0.0,2.0,15.8,3.954545454545455,4.015151515151516,161.4090909090909,4.0,0
2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,145.0,0.096551724137931,0.1862068965517241,4.0,0.31,1.0,5.0,0.0,2.0,40.0,4.818181818181818,2.272727272727273,2.363636363636364,2.0,0
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,14.0,0.2857142857142857,0.2857142857142857,1.0,0.11,1.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,0
9.0,4.0,0.0,0.0,1.0,0.5,0.0,0.5,143.0,0.1118881118881118,0.2447552447552447,15.0,0.24,1.0,16.0,0.0,2.0,0.0,8.0,15.5,17.5,4.0,0
3.0,1.0,1.0,3.0,0.9411764705882352,0.1764705882352941,0.2352941176470588,0.5882352941176471,482.0,0.1639004149377593,0.2531120331950207,15.0,0.26,2.0,41.0,3.0,3.0,89.0,5.882352941176471,7.117647058823529,8.294117647058824,4.0,0
1.0,1.0,1.0,2.0,0.9090909090909092,0.0,0.0,1.0,88.0,0.2045454545454545,0.2840909090909091,1.0,0.43,2.0,7.0,0.0,1.0,59.0,1.6363636363636365,1.4545454545454546,1.0,0.0,0
1.0,1.0,0.3333333333333333,0.3333333333333333,0.875,0.25,0.125,0.625,119.0,0.1260504201680672,0.3277310924369748,4.0,0.25,1.3333333333333333,9.333333333333334,0.0,2.0,22.0,4.0,3.625,1.75,1.0,0
1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,71.0,0.1830985915492957,0.2535211267605634,2.0,0.66,1.0,4.0,0.0,2.0,50.0,1.875,1.375,1.0,0.0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,37.0,0.1081081081081081,0.1621621621621621,0.0,3.71,1.0,2.0,2.0,3.0,0.0,36.5,1.0,0.0,0.0,0
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,39.0,0.1794871794871795,0.1794871794871795,1.0,1.13,1.0,1.0,0.0,1.0,33.0,1.6666666666666667,1.6666666666666667,1.0,0.0,0
1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,68.0,0.1764705882352941,0.2794117647058823,1.0,0.6,2.0,2.0,1.0,1.0,71.0,3.0,1.5714285714285714,1.0,0.0,0
