Name,Version,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
HashTableSinkDesc.java,2.3.5,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,0.0,1.0,51.0,51.0,23.0,51.0,0.0,0.0,0.0,51.0,392.0,75.0,250.0,119.0,82.0,67.0,109.0,165.0,88.0,79.0,2.0,2.0,2.0,0.27,53.0,53.0,53.0,51.0
HashTableSinkOperator.java,2.3.5,2.0,2.0,3.0,1.0,17.0,0.0,14.0,1.0,1.0,2.0,2.0,13.0,11.0,18.0,13.0,0.0,2.0,3.0,8.0,345.0,37.0,252.0,107.0,141.0,58.0,159.0,199.0,103.0,117.0,9.0,9.0,11.0,0.23,38.0,38.0,44.0,23.0
HbaseMetastoreProto.java,2.3.5,1.0,1.0,1.0,1.0,9.0,0.0,7.0,1.0,170.0,658.0,361.0,3759.0,3109.0,536.0,3767.0,412.0,384.0,160.0,2811.0,37031.0,1865.0,28450.0,8694.0,15514.0,6716.0,11866.0,17685.0,5770.0,12401.0,30.0,23.0,30.0,0.24,5902.0,5753.0,5926.0,3576.0
HcatDelegator.java,2.3.5,3.0,3.0,3.0,1.0,18.0,0.0,15.0,1.0,2.0,0.0,1.0,42.0,42.0,1.0,42.0,0.0,19.0,0.0,23.0,873.0,80.0,671.0,214.0,460.0,124.0,256.0,390.0,141.0,311.0,10.0,10.0,10.0,0.18,130.0,130.0,133.0,66.0
HcatException.java,2.3.5,1.0,1.0,1.0,1.0,10.0,0.0,10.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,42.0,4.0,17.0,7.0,6.0,21.0,10.0,12.0,7.0,5.0,1.0,1.0,1.0,1.24,1.0,1.0,1.0,1.0
HcatTestUtils.java,2.3.5,3.0,3.0,3.0,1.0,15.0,0.0,12.0,2.0,1.0,3.0,9.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,100.0,10.0,61.0,32.0,31.0,37.0,36.0,50.0,34.0,28.0,5.0,5.0,5.0,0.61,9.0,9.0,9.0,5.0
HdfsUtils.java,2.3.5,2.0,2.0,2.0,1.0,10.0,0.0,10.0,0.0,1.0,3.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,77.0,11.0,46.0,26.0,23.0,20.0,25.0,32.0,22.0,15.0,3.0,3.0,3.0,0.43,7.0,7.0,7.0,5.0
HdfsUtils.java,2.3.5,2.0,2.0,3.0,1.0,14.0,0.0,11.0,2.0,3.0,6.0,2.0,10.0,4.0,2.0,10.0,0.0,3.0,0.0,7.0,201.0,20.0,140.0,54.0,73.0,41.0,70.0,97.0,51.0,56.0,13.0,13.0,16.0,0.29,27.0,27.0,30.0,10.0
HeartBeatFailure.java,2.3.5,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,33.0,4.0,12.0,7.0,3.0,17.0,8.0,10.0,7.0,3.0,1.0,1.0,1.0,1.42,1.0,1.0,1.0,1.0
HeartbeatFactory.java,2.3.5,1.0,1.0,1.0,1.0,12.0,1.0,10.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,47.0,7.0,21.0,15.0,8.0,19.0,14.0,16.0,13.0,6.0,1.0,1.0,1.0,0.9,1.0,1.0,1.0,1.0
HeartbeatRequest.java,2.3.5,2.0,2.0,2.0,1.0,8.0,0.0,7.0,0.0,6.0,3.0,9.0,40.0,39.0,7.0,42.0,1.0,2.0,0.0,39.0,489.0,71.0,391.0,117.0,215.0,33.0,185.0,276.0,104.0,189.0,8.0,8.0,16.0,0.08,89.0,84.0,99.0,58.0
HeartbeatTimerTask.java,2.3.5,1.0,1.0,1.0,1.0,7.0,0.0,7.0,0.0,1.0,0.0,1.0,4.0,4.0,5.0,4.0,1.0,1.0,0.0,2.0,83.0,10.0,49.0,26.0,18.0,24.0,32.0,38.0,23.0,16.0,4.0,4.0,4.0,0.49,7.0,7.0,7.0,4.0
